instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options
b-ball,67c5cb2dc43704d11f456537f6a951cb8d5bfb6d74c90fb1827a3bc34abf3586,30,100,209,88,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 110377 nodes",-1.5000000000000009,-1.50000000000001,-1.7333333333333336,0.23333333333333273,0.15555555555555506,1,0,1,110377,13,-1.8181818181818183,-1.7333333333333336,0.2667,60.024312,60.0006482,078cb24,Windows-AMD64,2026-09-20T09:36:09+00:00,enable_root_cuts=true tree_cut_depth=4
ej,8a427d75008db853496fc29759c11bb77fddd5e0a0934601710f95a0a1935b00,1,3,3,3,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 68805 nodes",51015.0,25508.0,1.0,51014.0,0.9999803979221797,0,0,1,68805,0,1.0,1.0,0.0000,60.021383,60.0007197,078cb24,Windows-AMD64,2026-09-20T09:36:09+00:00,enable_root_cuts=true tree_cut_depth=4
enlight8,012d661241f3ef70a7ae28d89408a030ed0b7c538ccbd1e0d820af49fd7397a3,64,128,352,128,time_limit,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 101717 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",26.000000000000004,27.0,20.0,6.0000000000000036,0.23076923076923087,0,0,,101717,178,1.0000000000000004,1.5,0.0200,60.023703,60.0006393,078cb24,Windows-AMD64,2026-09-20T09:36:09+00:00,enable_root_cuts=true tree_cut_depth=4
enlight_hard,942168c2126a2a91ae3ec1ededea59bc1af0cad55f94223edf4c03d20e831f66,100,200,560,200,time_limit,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 34235 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",45.00000000000001,37.0,21.0,24.000000000000007,0.5333333333333334,0,0,,34235,796,15.500000000000002,17.400000000000002,0.0644,60.029713,60.0018372,078cb24,Windows-AMD64,2026-09-20T09:36:09+00:00,enable_root_cuts=true tree_cut_depth=4
f2gap40400,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,40,400,800,400,optimal,,20772.0,20771.99999999983,20772.0,0.0,0.0,1,1,1,1,40,20650.89815396325,20772.0,1.0000,0.034072,0.0173594,078cb24,Windows-AMD64,2026-09-20T09:36:09+00:00,enable_root_cuts=true tree_cut_depth=4
flugpl,d0b817caf496c95336f64815a740d6a54db1e37924785fcfd3c5da3ee6a15640,18,18,46,11,optimal,,1201499.9999999998,1201500.0,1201499.9999999995,2.3283064365386963e-10,1.937833072441695e-16,1,1,1,612,3,1167185.7255923203,1167875.1663773148,0.0201,0.047546,0.0321418,078cb24,Windows-AMD64,2026-09-20T09:36:09+00:00,enable_root_cuts=true tree_cut_depth=4
gen-ip016,ba1599099bccf0cf78cbc7e4c181f03a3af877b1ba596dac67ad296c81220bee,24,28,672,28,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 113195 nodes",-9446.366450848,-9476.155197,-9500.39572997003,54.02927912203086,0.0057195832284466005,0,0,1,113195,0,-9505.628172760296,-9505.628172760296,0.0000,60.024048,60.0008166,078cb24,Windows-AMD64,2026-09-20T09:36:09+00:00,enable_root_cuts=true tree_cut_depth=4
gen-ip054,b5089ebc97c43bd583fcadf30955b8800861044d632d747c0b7ac73f19b9e6f3,27,30,532,30,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 117433 nodes",6866.419368758001,6840.96564179,6787.694092432157,78.72527632584388,0.011465258979671631,0,0,1,117433,2,6765.209042727767,6766.160533329095,0.0094,60.027536,60.000521,078cb24,Windows-AMD64,2026-09-20T09:36:09+00:00,enable_root_cuts=true tree_cut_depth=4
gr4x6,ecb539938284a6453b8b94f47dfdd88d635e47cfd2977365f7246bb62ed562c7,34,48,96,24,optimal,,202.35,202.3499999999979,202.35,0.0,0.0,1,1,1,30,58,185.55,189.95000000000002,0.2619,0.092777,0.0722183,078cb24,Windows-AMD64,2026-09-20T09:36:09+00:00,enable_root_cuts=true tree_cut_depth=4
gt2,67e1ac3d5504e6b033cecd78b66091e3b64952a90147613d7c87e9652422a005,29,188,376,188,optimal,,21166.0,21165.99999999978,21166.0,0.0,0.0,1,1,1,45,168,13460.233074411899,20539.942955771974,0.9188,0.269902,0.2519579,078cb24,Windows-AMD64,2026-09-20T09:36:09+00:00,enable_root_cuts=true tree_cut_depth=4
